dataset,instancia,n,R,archivo
ningun-producto-agregable,NP-1,1,1000,instancias/ningun-producto-agregable/NP-1.txt
ningun-producto-agregable,NP-2,2,1000,instancias/ningun-producto-agregable/NP-2.txt
ningun-producto-agregable,NP-3,3,1000,instancias/ningun-producto-agregable/NP-3.txt
ningun-producto-agregable,NP-4,4,1000,instancias/ningun-producto-agregable/NP-4.txt
ningun-producto-agregable,NP-5,5,1000,instancias/ningun-producto-agregable/NP-5.txt
ningun-producto-agregable,NP-6,6,1000,instancias/ningun-producto-agregable/NP-6.txt
ningun-producto-agregable,NP-7,7,1000,instancias/ningun-producto-agregable/NP-7.txt
ningun-producto-agregable,NP-8,8,1000,instancias/ningun-producto-agregable/NP-8.txt
ningun-producto-agregable,NP-9,9,1000,instancias/ningun-producto-agregable/NP-9.txt
ningun-producto-agregable,NP-10,10,1000,instancias/ningun-producto-agregable/NP-10.txt
ningun-producto-agregable,NP-11,11,1000,instancias/ningun-producto-agregable/NP-11.txt
ningun-producto-agregable,NP-12,12,1000,instancias/ningun-producto-agregable/NP-12.txt
ningun-producto-agregable,NP-13,13,1000,instancias/ningun-producto-agregable/NP-13.txt
ningun-producto-agregable,NP-14,14,1000,instancias/ningun-producto-agregable/NP-14.txt
ningun-producto-agregable,NP-15,15,1000,instancias/ningun-producto-agregable/NP-15.txt
ningun-producto-agregable,NP-16,16,1000,instancias/ningun-producto-agregable/NP-16.txt
ningun-producto-agregable,NP-17,17,1000,instancias/ningun-producto-agregable/NP-17.txt
ningun-producto-agregable,NP-18,18,1000,instancias/ningun-producto-agregable/NP-18.txt
ningun-producto-agregable,NP-19,19,1000,instancias/ningun-producto-agregable/NP-19.txt
ningun-producto-agregable,NP-20,20,1000,instancias/ningun-producto-agregable/NP-20.txt
ningun-producto-agregable,NP-21,21,1000,instancias/ningun-producto-agregable/NP-21.txt
ningun-producto-agregable,NP-22,22,1000,instancias/ningun-producto-agregable/NP-22.txt
ningun-producto-agregable,NP-23,23,1000,instancias/ningun-producto-agregable/NP-23.txt
ningun-producto-agregable,NP-24,24,1000,instancias/ningun-producto-agregable/NP-24.txt
ningun-producto-agregable,NP-25,25,1000,instancias/ningun-producto-agregable/NP-25.txt
ningun-producto-agregable,NP-26,26,1000,instancias/ningun-producto-agregable/NP-26.txt
ningun-producto-agregable,NP-27,27,1000,instancias/ningun-producto-agregable/NP-27.txt
ningun-producto-agregable,NP-28,28,1000,instancias/ningun-producto-agregable/NP-28.txt
ningun-producto-agregable,NP-29,29,1000,instancias/ningun-producto-agregable/NP-29.txt
ningun-producto-agregable,NP-30,30,1000,instancias/ningun-producto-agregable/NP-30.txt
