dataset,instancia,n,R,archivo
random,Rand-1,1,4054,instancias/random/Rand-1.txt
random,Rand-2,2,9930,instancias/random/Rand-2.txt
random,Rand-3,3,1037,instancias/random/Rand-3.txt
random,Rand-4,4,11961,instancias/random/Rand-4.txt
random,Rand-5,5,14649,instancias/random/Rand-5.txt
random,Rand-6,6,19890,instancias/random/Rand-6.txt
random,Rand-7,7,8550,instancias/random/Rand-7.txt
random,Rand-8,8,4311,instancias/random/Rand-8.txt
random,Rand-9,9,11834,instancias/random/Rand-9.txt
random,Rand-10,10,9588,instancias/random/Rand-10.txt
random,Rand-11,11,1602,instancias/random/Rand-11.txt
random,Rand-12,12,11278,instancias/random/Rand-12.txt
random,Rand-13,13,17239,instancias/random/Rand-13.txt
random,Rand-14,14,9848,instancias/random/Rand-14.txt
random,Rand-15,15,17570,instancias/random/Rand-15.txt
random,Rand-16,16,6319,instancias/random/Rand-16.txt
random,Rand-17,17,12064,instancias/random/Rand-17.txt
random,Rand-18,18,7775,instancias/random/Rand-18.txt
random,Rand-19,19,3539,instancias/random/Rand-19.txt
random,Rand-20,20,18225,instancias/random/Rand-20.txt
random,Rand-21,21,5181,instancias/random/Rand-21.txt
random,Rand-22,22,7358,instancias/random/Rand-22.txt
random,Rand-23,23,9855,instancias/random/Rand-23.txt
random,Rand-24,24,1722,instancias/random/Rand-24.txt
random,Rand-25,25,762,instancias/random/Rand-25.txt
random,Rand-26,26,10050,instancias/random/Rand-26.txt
random,Rand-27,27,10390,instancias/random/Rand-27.txt
random,Rand-28,28,4472,instancias/random/Rand-28.txt
random,Rand-29,29,14022,instancias/random/Rand-29.txt
random,Rand-30,30,11254,instancias/random/Rand-30.txt
