dataset,instancia,n,R,archivo
todos-los-productos-agregables,TP-1,1,1000,instancias/todos-los-productos-agregables/TP-1.txt
todos-los-productos-agregables,TP-2,2,1000,instancias/todos-los-productos-agregables/TP-2.txt
todos-los-productos-agregables,TP-3,3,1000,instancias/todos-los-productos-agregables/TP-3.txt
todos-los-productos-agregables,TP-4,4,1000,instancias/todos-los-productos-agregables/TP-4.txt
todos-los-productos-agregables,TP-5,5,1000,instancias/todos-los-productos-agregables/TP-5.txt
todos-los-productos-agregables,TP-6,6,1000,instancias/todos-los-productos-agregables/TP-6.txt
todos-los-productos-agregables,TP-7,7,1000,instancias/todos-los-productos-agregables/TP-7.txt
todos-los-productos-agregables,TP-8,8,1000,instancias/todos-los-productos-agregables/TP-8.txt
todos-los-productos-agregables,TP-9,9,1000,instancias/todos-los-productos-agregables/TP-9.txt
todos-los-productos-agregables,TP-10,10,1000,instancias/todos-los-productos-agregables/TP-10.txt
todos-los-productos-agregables,TP-11,11,1000,instancias/todos-los-productos-agregables/TP-11.txt
todos-los-productos-agregables,TP-12,12,1000,instancias/todos-los-productos-agregables/TP-12.txt
todos-los-productos-agregables,TP-13,13,1000,instancias/todos-los-productos-agregables/TP-13.txt
todos-los-productos-agregables,TP-14,14,1000,instancias/todos-los-productos-agregables/TP-14.txt
todos-los-productos-agregables,TP-15,15,1000,instancias/todos-los-productos-agregables/TP-15.txt
todos-los-productos-agregables,TP-16,16,1000,instancias/todos-los-productos-agregables/TP-16.txt
todos-los-productos-agregables,TP-17,17,1000,instancias/todos-los-productos-agregables/TP-17.txt
todos-los-productos-agregables,TP-18,18,1000,instancias/todos-los-productos-agregables/TP-18.txt
todos-los-productos-agregables,TP-19,19,1000,instancias/todos-los-productos-agregables/TP-19.txt
todos-los-productos-agregables,TP-20,20,1000,instancias/todos-los-productos-agregables/TP-20.txt
todos-los-productos-agregables,TP-21,21,1000,instancias/todos-los-productos-agregables/TP-21.txt
todos-los-productos-agregables,TP-22,22,1000,instancias/todos-los-productos-agregables/TP-22.txt
todos-los-productos-agregables,TP-23,23,1000,instancias/todos-los-productos-agregables/TP-23.txt
todos-los-productos-agregables,TP-24,24,1000,instancias/todos-los-productos-agregables/TP-24.txt
todos-los-productos-agregables,TP-25,25,1000,instancias/todos-los-productos-agregables/TP-25.txt
todos-los-productos-agregables,TP-26,26,1000,instancias/todos-los-productos-agregables/TP-26.txt
todos-los-productos-agregables,TP-27,27,1000,instancias/todos-los-productos-agregables/TP-27.txt
todos-los-productos-agregables,TP-28,28,1000,instancias/todos-los-productos-agregables/TP-28.txt
todos-los-productos-agregables,TP-29,29,1000,instancias/todos-los-productos-agregables/TP-29.txt
todos-los-productos-agregables,TP-30,30,1000,instancias/todos-los-productos-agregables/TP-30.txt
