dataset,n,R,metodo,tiempo
todos-los-productos-agregables,0,1000,FB,0.010817
todos-los-productos-agregables,1,1000,FB,0.010055
todos-los-productos-agregables,2,1000,FB,0.009498
todos-los-productos-agregables,3,1000,FB,0.010285
todos-los-productos-agregables,4,1000,FB,0.011898
todos-los-productos-agregables,5,1000,FB,0.012463
todos-los-productos-agregables,6,1000,FB,0.015129
todos-los-productos-agregables,7,1000,FB,0.02092
todos-los-productos-agregables,8,1000,FB,0.030718
todos-los-productos-agregables,9,1000,FB,0.053644
todos-los-productos-agregables,10,1000,FB,0.096891
todos-los-productos-agregables,11,1000,FB,0.184059
todos-los-productos-agregables,12,1000,FB,0.357542
todos-los-productos-agregables,13,1000,FB,0.70624
todos-los-productos-agregables,14,1000,FB,1.46481
todos-los-productos-agregables,15,1000,FB,2.94824
todos-los-productos-agregables,16,1000,FB,6.00295
todos-los-productos-agregables,17,1000,FB,12.1235
todos-los-productos-agregables,18,1000,FB,24.0105
todos-los-productos-agregables,19,1000,FB,46.435
todos-los-productos-agregables,20,1000,FB,95.793
todos-los-productos-agregables,21,1000,FB,189.616
todos-los-productos-agregables,22,1000,FB,385.337
todos-los-productos-agregables,23,1000,FB,802.257
todos-los-productos-agregables,24,1000,FB,1599.36
todos-los-productos-agregables,25,1000,FB,3177.26
todos-los-productos-agregables,26,1000,FB,6374.7
todos-los-productos-agregables,27,1000,FB,12941.5
todos-los-productos-agregables,28,1000,FB,26160.9
todos-los-productos-agregables,29,1000,FB,52965.1
