dataset,n,R,metodo,tiempo
random-muchos-productos,1,12378,PD,0.076394
random-muchos-productos,2,11933,PD,0.082225
random-muchos-productos,3,13118,PD,0.125717
random-muchos-productos,4,15575,PD,0.160512
random-muchos-productos,5,1825,PD,0.021581
random-muchos-productos,6,9227,PD,0.186772
random-muchos-productos,7,3504,PD,0.057618
random-muchos-productos,8,3466,PD,0.056617
random-muchos-productos,9,1432,PD,0.03731
random-muchos-productos,10,2305,PD,0.04776
random-muchos-productos,11,17974,PD,0.356512
random-muchos-productos,12,7100,PD,0.296508
random-muchos-productos,13,2658,PD,0.077556
random-muchos-productos,14,18350,PD,0.684579
random-muchos-productos,15,6054,PD,0.2658
random-muchos-productos,16,16566,PD,0.441581
random-muchos-productos,17,15769,PD,0.560406
random-muchos-productos,18,6940,PD,0.209945
random-muchos-productos,19,1415,PD,0.058501
random-muchos-productos,20,10804,PD,0.374235
random-muchos-productos,21,1634,PD,0.194106
random-muchos-productos,22,9949,PD,0.404311
random-muchos-productos,23,4379,PD,0.329912
random-muchos-productos,24,12583,PD,0.527574
random-muchos-productos,25,617,PD,0.100199
random-muchos-productos,26,10155,PD,0.592877
random-muchos-productos,27,1343,PD,0.186391
random-muchos-productos,28,11128,PD,0.742017
random-muchos-productos,29,16132,PD,0.749702
random-muchos-productos,30,2429,PD,0.167846
random-muchos-productos,31,15560,PD,0.947064
random-muchos-productos,32,1512,PD,0.109626
random-muchos-productos,33,8309,PD,0.460788
random-muchos-productos,34,15997,PD,1.75882
random-muchos-productos,35,18265,PD,1.46846
random-muchos-productos,36,6583,PD,0.455768
random-muchos-productos,37,6704,PD,0.499421
random-muchos-productos,38,18297,PD,1.37093
random-muchos-productos,39,14790,PD,1.38511
random-muchos-productos,40,2874,PD,0.322969
random-muchos-productos,41,16994,PD,2.31575
random-muchos-productos,42,3561,PD,0.578991
random-muchos-productos,43,14461,PD,1.49982
random-muchos-productos,44,921,PD,0.216417
random-muchos-productos,45,1460,PD,0.333658
random-muchos-productos,46,3820,PD,0.92392
random-muchos-productos,47,17150,PD,1.44217
random-muchos-productos,48,9841,PD,1.02656
random-muchos-productos,49,17696,PD,2.94756
random-muchos-productos,50,1484,PD,0.500563
random-muchos-productos,51,14172,PD,1.56546
random-muchos-productos,52,17190,PD,1.51938
random-muchos-productos,53,1659,PD,0.341774
random-muchos-productos,54,16099,PD,2.19633
